Daerah,Transisi Energi #1,Energi Baru Terbarukan #1 ,Krisis Iklim/Perubahan Iklim #1,Mineral Kritis #1,Transisi Energi - Teman,Transisi Energi - Keluarga,Transisi Energi - Media Sosial,Transisi Energi - Pemerintah,Transisi Energi - Media Massa,Transisi Energi - Event,Transisi Energi - Buku,Transisi Energi - Internet,Transisi Energi - Lainnya,Transisi Energi - Tidak Tahu,Energi Baru Terbarukan - Teman,Energi Baru Terbarukan - Keluarga,Energi Baru Terbarukan - Media Sosial,Energi Baru Terbarukan - Pemerintah,Energi Baru Terbarukan - Media Massa,Energi Baru Terbarukan - Event,Energi Baru Terbarukan - Buku,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Lainnya,Energi Baru Terbarukan - Tidak Tahu,Krisis Iklim/Perubahan Iklim - Teman,Krisis Iklim/Perubahan Iklim - Keluarga,Krisis Iklim/Perubahan Iklim - Media Sosial,Krisis Iklim/Perubahan Iklim - Pemerintah,Krisis Iklim/Perubahan Iklim - Media Massa,Krisis Iklim/Perubahan Iklim - Event,Krisis Iklim/Perubahan Iklim - Buku,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Teman,Mineral Kritis - Keluarga,Mineral Kritis - Media Sosial,Mineral Kritis - Pemerintah,Mineral Kritis - Media Massa,Mineral Kritis - Event,Mineral Kritis - Buku,Mineral Kritis - Internet,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,Internet,,,,,Media Sosial,,,,,Internet,,,,,Media Sosial,,,,,Internet,,,,,Media Sosial,,,,,Internet,,
Prov Palu,Ya,Ya,Ya,Ya,Teman,,,,,,,,,,Teman,,,,,,,,,,Teman,,,,,,,,,,Teman,,,,,,,,,
Prov Palu,,,,Ya,,,,,,,Buku,Internet,,,Teman,,,,,,,,,,,,Media Sosial,,Media Massa,,,,,,Teman,,Media Sosial,,Media Massa,,Buku,Internet,,
Morowali,Ya,Ya,Ya,Ya,Teman,,,,,,,,,,Teman,,,,,,,,,,Teman,,,,,,,,,,Teman,,,,,,,,,
Sigi,Ya,Ya,Ya,Ya,Teman,,Media Sosial,,Media Massa,,,,,,Teman,,Media Sosial,,Media Massa,,,,,,Teman,,Media Sosial,,Media Massa,,,,,,Teman,,Media Sosial,,Media Massa,,,,,
Morowali,Ya,Ya,Ya,Ya,,Keluarga,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,
Morowali,Ya,Ya,Ya,Ya,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,
Sigi,Tidak,Tidak,Ya,Tidak,,,,,,,,,,Tidak Tahu,,,,,,,,,,Tidak Tahu,,,,,,,,Internet,,,,,,,,,,,,Tidak Tahu
Morowali,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,
Prov Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,Teman,,Media Sosial,,,,,,,,,,Media Sosial,,Media Massa,,,,,
Sigi,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,Internet,,,,,Media Sosial,,,,,Internet,,,,,Media Sosial,Pemerintah,,,,Internet,,,,,Media Sosial,,,,,Internet,,
Morowali,,,Ya,Ya,,,,,,,,,,,,,,,,,,,,,,,Media Sosial,,Media Massa,,,Internet,,,Teman,,Media Sosial,,Media Massa,,,Internet,Lainnya,
Morowali,,,Ya,,,,,,,,,,,,,,,,,,,,,,,,Media Sosial,,Media Massa,,,Internet,,,,,,,,,,,,
Morowali,Ya,Tidak,Ya,Tidak,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Morowali,Ya,Ya,Ya,Ya,Teman,Keluarga,Media Sosial,,,,,Internet,,,Teman,Keluarga,Media Sosial,,,,,Internet,,,Teman,Keluarga,Media Sosial,,,,,Internet,,,Teman,Keluarga,Media Sosial,,,,,Internet,,
Morowali,Ya,Ya,Ya,Ya,,,,Pemerintah,,,,,,,,,Media Sosial,,,,,,,,,,,,,,,,Lainnya,,,,,,,,Buku,,,
Morowali,,,Ya,,,,,,,,,,,,,,,,,,,,,,Teman,Keluarga,Media Sosial,,Media Massa,,,Internet,,,,,,,,,,,,
Kota Palu,Ya,Ya,Ya,Tidak,Teman,,Media Sosial,,,,,,Lainnya,,Teman,,Media Sosial,,,,,,Lainnya,,Teman,,Media Sosial,,,,,,Lainnya,,,,,,,,,,,Tidak Tahu
Morowali,,Ya,Ya,Ya,,,,,,,,,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,,,
Sigi,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Morowali,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,Internet,,,,,,Pemerintah,,,,,,,,,,,,,,,Lainnya,,,,,,,,Buku,,,
Prov Palu,Ya,Tidak,Ya,Tidak,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Prov Palu,Tidak,Tidak,Ya,Ya,,,,,,,,,,Tidak Tahu,,,,,,,,,,Tidak Tahu,Teman,,Media Sosial,,Media Massa,,,Internet,,,Teman,,Media Sosial,,Media Massa,,,Internet,,
Prov Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Morowali,Ya,Ya,Ya,Tidak,,,,,,,,Internet,,,,,,,,,,Internet,,,,,,,,,,Internet,,,,,,,,,,,,Tidak Tahu
Morowali,Ya,Ya,Ya,Tidak,,,,,,,Buku,Internet,,,,,,,,,Buku,Internet,,,Teman,Keluarga,,,,,,,,,,,,,,,,,,Tidak Tahu
Prov Palu,Ya,Ya,Ya,Ya,,,,Pemerintah,,,,,,,,,,Pemerintah,,,,,,,,,,Pemerintah,,,,,,,,,,Pemerintah,,,,,,
Sigi,Tidak,Ya,Ya,Tidak,,,,,,,,,,Tidak Tahu,Teman,,,Pemerintah,,,,,,,Teman,,,Pemerintah,,,,,,,,,,,,,,,,Tidak Tahu
Morowali,Ya,Tidak,Ya,Ya,,,,,,,,,Lainnya,,,,,,,,,,,Tidak Tahu,,,,,,,,Internet,,,,,,,,,,Internet,,
Prov Palu,Ya,Ya,Ya,Ya,Teman,,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,,
Sigi,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,
Morowali,Tidak,Ya,Ya,Ya,,,,,,,,,Lainnya,,,,,,,Event,,,,,,,,,Media Massa,,,,,,,,,,,Event,,,,
Kota Palu,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,,,,,,,,,Media Sosial,Pemerintah,,,,,,,,,Media Sosial,Pemerintah,,,,,,,,,Media Sosial,Pemerintah,,,,,,
Morowali,Ya,Ya,Ya,Ya,,,,,Media Massa,,,Internet,,,,,,,Media Massa,,,Internet,,,,,,,Media Massa,,,Internet,,,,,,,Media Massa,,,Internet,,
Morowali,,,Ya,Ya,,,,,,,,,,Tidak Tahu,,,,,,,,,,Tidak Tahu,,,Media Sosial,Pemerintah,,,,Internet,,,Teman,,Media Sosial,,,,,Internet,,
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,
Sigi,Ya,Ya,Ya,Ya,,,,,Media Massa,,,,,,Teman,,,Pemerintah,Media Massa,,,,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,Teman,Keluarga,Media Sosial,,,,,,,
Morowali Utara,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,Lainnya,
Kota Palu,Ya,Ya,Tidak,Tidak,,Keluarga,Media Sosial,Pemerintah,,,,,Lainnya,,,Keluarga,Media Sosial,Pemerintah,Media Massa,,,,Lainnya,,Teman,Keluarga,Media Sosial,Pemerintah,,,,,Lainnya,Tidak Tahu,Teman,Keluarga,Media Sosial,Pemerintah,,,,Internet,Lainnya,Tidak Tahu
Prov Palu,Ya,Ya,Ya,Ya,Teman,,,,,,,Internet,,,Teman,,,,,,,Internet,,,Teman,,,,,,,Internet,,,Teman,,,,,,,Internet,,
Kota Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,
Prov Palu,Ya,Ya,Ya,Ya,,,,,,,Buku,Internet,,,,,,,,,Buku,Internet,,,,,,,,,Buku,Internet,,,,,,,,,Buku,Internet,,
Sigi,Ya,Ya,Ya,Tidak,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,Teman,,,,,,,,,Tidak Tahu
Prov Palu,Ya,Ya,Ya,Ya,,,,,Media Massa,,,,,,,,,,Media Massa,,,,,,,,,,Media Massa,,,,,,,,,,Media Massa,,,,,
Sigi,Ya,Ya,Ya,Ya,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,,,,Teman,Keluarga,Media Sosial,,Media Massa,,,,,,Teman,Keluarga,Media Sosial,,,,,,Lainnya,
Prov Palu,Ya,Ya,Ya,Ya,Teman,,,,,Event,,,,,Teman,,,,,Event,,,,,Teman,,,,,Event,,,,,Teman,,,,,Event,,,,
Sigi,Ya,Ya,Ya,Ya,Teman,,Media Sosial,Pemerintah,Media Massa,,,,,,Teman,,Media Sosial,Pemerintah,Media Massa,,,,,,Teman,,Media Sosial,Pemerintah,Media Massa,,,,,,,,Media Sosial,Pemerintah,,,,,,
Prov Palu,Ya,Ya,Ya,Ya,Teman,,Media Sosial,,Media Massa,Event,,Internet,,,Teman,,Media Sosial,,Media Massa,Event,,Internet,,,,,,,,Event,,,,,Teman,,,,,Event,,,,
Prov Palu,Tidak,Ya,Ya,Tidak,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,Media Massa,Event,,,,
Sigi,Ya,Ya,Tidak,Tidak,Teman,,,,,,,,,,Teman,,,,,,,,,,,,,,,,,,,Tidak Tahu,,,,,,,,,,Tidak Tahu
Prov Palu,Ya,Ya,Ya,Ya,Teman,,,,Media Massa,,,,,,Teman,,,,Media Massa,,,,,,Teman,,,,Media Massa,,,,,,Teman,,,,Media Massa,,,,,
Kota Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,,,
Prov Palu,Ya,Ya,Ya,Ya,,,,,,,Buku,,,,,,,,Media Massa,,,,,,,,,,,,Buku,,,,,,Media Sosial,,Media Massa,,,,,
Prov Palu,Ya,Ya,Ya,Tidak,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,Teman,,,,,Event,,,,,Teman,Keluarga,Media Sosial,Pemerintah,Media Massa,Event,Buku,Internet,Lainnya,,,,,,Media Massa,,,Internet,Lainnya,
Prov Palu,Ya,Ya,Ya,Tidak,,,Media Sosial,,,,,,,,,,,Pemerintah,Media Massa,,,,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,Lainnya,,,,Media Sosial,,Media Massa,Event,Buku,,,
Prov Palu,Ya,Ya,Ya,Tidak,,,,Pemerintah,,,,,,,,,,Pemerintah,,,,,,,,,,Pemerintah,,,,,,,,,,,,,,,,Tidak Tahu
Kota Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,,Pemerintah,Media Massa,,,,,,Teman,Keluarga,,,,,,,Lainnya,
