Daerah,Transisi Energi #1,Energi Baru Terbarukan #1 ,Krisis Iklim/Perubahan Iklim #1,Mineral Kritis #1,Transisi Energi - Teman,Transisi Energi - Keluarga,Transisi Energi - Media Sosial,Transisi Energi - Pemerintah,Transisi Energi - Media Massa,Transisi Energi - Event,Transisi Energi - Buku,Transisi Energi - Internet,Transisi Energi - Lainnya,Transisi Energi - Tidak Tahu,Energi Baru Terbarukan - Teman,Energi Baru Terbarukan - Keluarga,Energi Baru Terbarukan - Media Sosial,Energi Baru Terbarukan - Pemerintah,Energi Baru Terbarukan - Media Massa,Energi Baru Terbarukan - Event,Energi Baru Terbarukan - Buku,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Lainnya,Energi Baru Terbarukan - Tidak Tahu,Krisis Iklim/Perubahan Iklim - Teman,Krisis Iklim/Perubahan Iklim - Keluarga,Krisis Iklim/Perubahan Iklim - Media Sosial,Krisis Iklim/Perubahan Iklim - Pemerintah,Krisis Iklim/Perubahan Iklim - Media Massa,Krisis Iklim/Perubahan Iklim - Event,Krisis Iklim/Perubahan Iklim - Buku,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Teman,Mineral Kritis - Keluarga,Mineral Kritis - Media Sosial,Mineral Kritis - Pemerintah,Mineral Kritis - Media Massa,Mineral Kritis - Event,Mineral Kritis - Buku,Mineral Kritis - Internet,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
Kota Palu,Ya,Ya,Ya,Tidak,,,,,,,,,Lainnya,,,,,,,,,,Lainnya,,,,,,,,,,Lainnya,,,,,,,,,,Lainnya,
Kota Palu,Ya,Ya,Ya,Ya,Teman,,,,Media Massa,,Buku,Internet,,,Teman,,,,Media Massa,,Buku,Internet,,,Teman,,,,Media Massa,,Buku,Internet,,,Teman,,,,Media Massa,,Buku,Internet,,
Morowali Utara,Ya,Ya,Ya,Ya,Teman,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,,,Internet,,,Teman,,Media Sosial,Pemerintah,Media Massa,,,Internet,,
Kota Palu,Ya,Ya,Ya,Ya,Teman,,Media Sosial,,,,,Internet,,,Teman,,Media Sosial,,,,,Internet,,,Teman,,Media Sosial,,,,,Internet,,,Teman,,Media Sosial,,,,,Internet,,
Morowali,Tidak,Tidak,Ya,Ya,,,,,,,,,,,,,,,,,,,,,,,Media Sosial,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,
Sigi,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,Event,Buku,,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,
Sigi,Tidak,Ya,Ya,Tidak,,,,,,,,,,Tidak Tahu,,,,Pemerintah,,,,,,,,,,Pemerintah,,,,,,,,,,,,,,,,Tidak Tahu
Kota Palu,Ya,Ya,Ya,Ya,Teman,,Media Sosial,Pemerintah,,,,,,,,,Media Sosial,Pemerintah,,,,,,,,,Media Sosial,Pemerintah,,,,,,,Teman,,Media Sosial,,,,,,,
Prov Palu,Ya,Ya,Ya,Tidak,Teman,,Media Sosial,,Media Massa,,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,Media Massa,,,Internet,,,Teman,Keluarga,Media Sosial,,Media Massa,,Buku,Internet,,,,,,,,Event,,,Lainnya,
Sigi,Ya,Ya,Ya,,Teman,,Media Sosial,Pemerintah,,,,,,,Teman,,Media Sosial,Pemerintah,,,,,,,Teman,,Media Sosial,Pemerintah,,,,,,,,,,,,,,,,Tidak Tahu
Sigi,Ya,Ya,Ya,Ya,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,Keluarga,Media Sosial,Pemerintah,,Event,Buku,,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,,,,Media Sosial,Pemerintah,Media Massa,,Buku,Internet,,
