Daerah,Transisi Energi - Facebook,Transisi Energi - Twitter/ X,Transisi Energi - Instagram,Transisi Energi - Tik Tok,Transisi Energi - Whatsapp,Transisi Energi - Koran,Transisi Energi - Radio,Transisi Energi - Internet,Transisi Energi - Televisi,Transisi Energi - Lainnya.,Transisi Energi - Tidak Tahu.,Energi Baru Terbarukan - Facebook,Energi Baru Terbarukan - Twitter/ X,Energi Baru Terbarukan - Instagram,Energi Baru Terbarukan - Tik Tok,Energi Baru Terbarukan - Whatsapp,Energi Baru Terbarukan - Koran,Energi Baru Terbarukan - Radio,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Televisi,Energi Baru Terbarukan - Lainnya.,Energi Baru Terbarukan - Tidak Tahu.,Krisis Iklim/Perubahan Iklim - Facebook,Krisis Iklim/Perubahan Iklim - Twitter/ X,Krisis Iklim/Perubahan Iklim - Instagram,Krisis Iklim/Perubahan Iklim - Tik Tok,Krisis Iklim/Perubahan Iklim - Whatsapp,Krisis Iklim/Perubahan Iklim - Koran,Krisis Iklim/Perubahan Iklim - Radio,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Televisi,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Facebook,Mineral Kritis - Twitter/ X,Mineral Kritis - Instagram,Mineral Kritis - Tik Tok,Mineral Kritis - Whatsapp,Mineral Kritis - Koran,Mineral Kritis - Radio,Mineral Kritis - Internet,Mineral Kritis - Televisi,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
Morowali,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,
Sigi,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu,,,,,,Koran,,Internet,,,,,,,,,,,,,,
Morowali,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,
Prov Palu,,,Instagram,,,,,,,,,,,Instagram,,,,,,,,,,,Instagram,,,,,,,,,,,Instagram,,,,,,,,
Sigi,,Twitter/ X,,,,,,Internet,,,,,Twitter/ X,,,,,,,,,,,Twitter/ X,,,,,,,,,,,Twitter/ X,,,,,,,,,
Morowali,,,,,,,,,,,,,,,,,,,,,,,,,Instagram,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,
Morowali,,,,,,,,,,,,,,,,,,,,,,,Facebook,,,,Whatsapp,,,Internet,Televisi,,,,,,,,,,,,,
Morowali,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,Televisi,,,Facebook,,,,,,,Internet,Televisi,,,,,,,,,,Internet,,,
Morowali,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,
Morowali,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Morowali,,,,,,,,,,,,,,,,,,,,,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,,,,,,,
Kota Palu,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,,,,,,,,,,,,Tidak Tahu
Morowali,,,,,,,,,,,,,,,,,,,Internet,Televisi,,,,,,,Whatsapp,Koran,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,,,
Sigi,,Twitter/ X,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Morowali,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Prov Palu,,,,Tik Tok,,,,,,,,,,,Tik Tok,,,,,,,,,,,Tik Tok,,,,,,,,,,,Tik Tok,,,,,,,
Prov Palu,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu,Facebook,,,,Whatsapp,,,Internet,,,,Facebook,,,,Whatsapp,,,Internet,,,
Prov Palu,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,
Morowali,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,,,,Tidak Tahu
Morowali,Facebook,,,,,,,,Televisi,,,Facebook,,,,,,,,Televisi,,,Facebook,,,,,,,,Televisi,,,,,,,,,,,,,Tidak Tahu
Prov Palu,,,,,,Koran,,,,,,,,,,,Koran,,,,,,,,,,,Koran,,,,,,,,,,,Koran,,,,,
Sigi,,,,,,,,,,,Tidak Tahu,,,,,,,,,,Lainnya,,,,,,,,,,,Lainnya,,,,,,,,,,,,Tidak Tahu
Morowali,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Prov Palu,,,,,Whatsapp,,,,,,,,,,,Whatsapp,,,,,,,,,,,Whatsapp,,,,,,,,,,,Whatsapp,,,,,,
Sigi,Facebook,,,,Whatsapp,Koran,,Internet,Televisi,,,Facebook,,,,Whatsapp,Koran,Radio,,Televisi,Lainnya,,Facebook,,Instagram,,Whatsapp,Koran,,Internet,Televisi,,,Facebook,,Instagram,,,Koran,,Internet,Televisi,,
Morowali,,,,,,,,Internet,,,,,,,,,,,,,,Tidak Tahu,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Kota Palu,Facebook,Twitter/ X,Instagram,,,,,,,,,Facebook,Twitter/ X,Instagram,,,,,,,,Tidak Tahu,Facebook,Twitter/ X,Instagram,,,,,,,,,Facebook,Twitter/ X,Instagram,,,,,,,,
Morowali,,,,,,Koran,,Internet,Televisi,,,,,,,,,,Internet,Televisi,,,,,,,,,,Internet,Televisi,,,,,,,,,,Internet,Televisi,,
Morowali,,,,Tik Tok,,,,Internet,,,,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu,,,,,,,,Internet,Televisi,,
Morowali Utara,,,Instagram,Tik Tok,,,,Internet,Televisi,Lainnya,,,,Instagram,Tik Tok,,,,Internet,Televisi,Lainnya,,,,Instagram,Tik Tok,,,,Internet,Televisi,Lainnya,,,,Instagram,Tik Tok,,,,Internet,Televisi,Lainnya,
Sigi,Facebook,,,,Whatsapp,Koran,,,,,,Facebook,,,,,Koran,,,,,,Facebook,,,,,Koran,Radio,Internet,Televisi,Lainnya,,Facebook,,Instagram,,Whatsapp,,,,,,
Morowali Utara,Facebook,,Instagram,Tik Tok,,,,Internet,Televisi,Lainnya,,Facebook,,Instagram,Tik Tok,,,,Internet,Televisi,Lainnya,,Facebook,,Instagram,Tik Tok,,,,Internet,Televisi,Lainnya,,Facebook,,Instagram,Tik Tok,,,,Internet,Televisi,Lainnya,
Kota Palu,Facebook,,,,,,,,,Lainnya,,Facebook,,,,,,,,,Lainnya,,Facebook,,,,,,,,,Lainnya,,Facebook,,,,,,,,,Lainnya,
Prov Palu,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,
Kota Palu,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Prov Palu,,,Instagram,,,,,,,,,Facebook,,Instagram,,,,,,,,,,,Instagram,,,,,,,,,,,Instagram,,,,,,,,
Sigi,,,Instagram,,,Koran,,Internet,Televisi,,,,,Instagram,,,Koran,,Internet,Televisi,,,,,Instagram,,,Koran,,Internet,Televisi,,,,,Instagram,,,Koran,,Internet,Televisi,,
Prov Palu,,,,,,,,,Televisi,,,,,,,,,,,Televisi,,,,,,,,,,,Televisi,,,,,,,,,,,Televisi,,
Sigi,Facebook,,,,,,,Internet,Televisi,,,Facebook,,,,,Koran,,Internet,Televisi,,,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,,Televisi,,
Prov Palu,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,
Sigi,,,,,,,,Internet,,Lainnya,,,,,,,,,Internet,,,,,,,,,,,Internet,,Lainnya,,,,,,,,,Internet,,Lainnya,
Prov Palu,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,,,,,,,,,,Lainnya,,,,,,,,,,,Lainnya,
Prov Palu,,,,,Whatsapp,Koran,Radio,Internet,Televisi,,,,,,,Whatsapp,Koran,Radio,Internet,Televisi,,,,,,,Whatsapp,Koran,Radio,Internet,Televisi,,,,,,,Whatsapp,Koran,Radio,Internet,Televisi,,
Sigi,,,,,,,,,,Lainnya,,,,,,,,,,,Lainnya,Tidak Tahu,,,,,,,,,,Lainnya,Tidak Tahu,,,,,,,,,,Lainnya,
Prov Palu,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu
Kota Palu,Facebook,,,,,,,Internet,,Lainnya,,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,
Prov Palu,,,,,,,,Internet,,,,,,,,,,,Internet,,,,Facebook,,,,,,,,,,,,,,,,,,Internet,,,
Prov Palu,Facebook,,,,,,,Internet,Televisi,,,Facebook,,,,,,,Internet,Televisi,,,Facebook,,,,,,,Internet,Televisi,,,,,,,,,,Internet,,,
Prov Palu,Facebook,Twitter/ X,Instagram,,Whatsapp,,,,,,,,Twitter/ X,,,,Koran,,,Televisi,,,,Twitter/ X,,,Whatsapp,,,Internet,Televisi,,,,Twitter/ X,Instagram,,Whatsapp,,,Internet,Televisi,,
Prov Palu,,,Instagram,,,Koran,,,Televisi,,,,,Instagram,,,Koran,,,Televisi,,,,,Instagram,,,Koran,,,Televisi,,,,,Instagram,,,,,,,,
Kota Palu,,,Instagram,,,,,,,,,,,Instagram,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,
