type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,09,-8.0366084073,114.4618790690, , ,False, , ,1015, , ,2025-02-22T01:32:29Z, , ,2025/02/22 08:32:29
TRACK,09,-8.0366087426,114.4618789852, , ,False, , ,1010, , ,2025-02-22T01:32:31Z, , ,2025/02/22 08:32:31
TRACK,09,-8.0366089102,114.4618790690, , ,False, , ,1001, , ,2025-02-22T01:32:33Z, , ,2025/02/22 08:32:33
TRACK,09,-8.0366089940,114.4618794043, , ,False, , ,997, , ,2025-02-22T01:32:35Z, , ,2025/02/22 08:32:35
TRACK,09,-8.0366091616,114.4618796557, , ,False, , ,988, , ,2025-02-22T01:32:37Z, , ,2025/02/22 08:32:37
TRACK,09,-8.0366094131,114.4618800748, , ,False, , ,980, , ,2025-02-22T01:32:39Z, , ,2025/02/22 08:32:39
TRACK,09,-8.0366099160,114.4618806615, , ,False, , ,978, , ,2025-02-22T01:32:41Z, , ,2025/02/22 08:32:41
TRACK,09,-8.0366105027,114.4618803263, , ,False, , ,971, , ,2025-02-22T01:32:43Z, , ,2025/02/22 08:32:43
TRACK,09,-8.0366110057,114.4618801586, , ,False, , ,964, , ,2025-02-22T01:32:45Z, , ,2025/02/22 08:32:45
TRACK,09,-8.0366113409,114.4618800748, , ,False, , ,956, , ,2025-02-22T01:32:47Z, , ,2025/02/22 08:32:47
TRACK,09,-8.0366121791,114.4618799910, , ,False, , ,955, , ,2025-02-22T01:32:49Z, , ,2025/02/22 08:32:49
TRACK,09,-8.0366136879,114.4618780632, , ,False, , ,952, , ,2025-02-22T01:32:51Z, , ,2025/02/22 08:32:51
TRACK,09,-8.0366154481,114.4618737884, , ,False, , ,947, , ,2025-02-22T01:32:53Z, , ,2025/02/22 08:32:53
TRACK,09,-8.0366153643,114.4618720282, , ,False, , ,953, , ,2025-02-22T01:32:55Z, , ,2025/02/22 08:32:55
TRACK,09,-8.0366132688,114.4618714415, , ,False, , ,964, , ,2025-02-22T01:32:57Z, , ,2025/02/22 08:32:57
TRACK,09,-8.0366051383,114.4618774764, , ,False, , ,958, , ,2025-02-22T01:32:59Z, , ,2025/02/22 08:32:59
TRACK,09,-8.0366049707,114.4618797395, , ,False, , ,980, , ,2025-02-22T01:33:01Z, , ,2025/02/22 08:33:01
TRACK,09,-8.0366059765,114.4618805777, , ,False, , ,1003, , ,2025-02-22T01:33:03Z, , ,2025/02/22 08:33:03
TRACK,09,-8.0366074014,114.4618808292, , ,False, , ,1020, , ,2025-02-22T01:33:05Z, , ,2025/02/22 08:33:05
TRACK,09,-8.0366072338,114.4618805777, , ,False, , ,1034, , ,2025-02-22T01:33:07Z, , ,2025/02/22 08:33:07
TRACK,09,-8.0366076529,114.4618800748, , ,False, , ,1048, , ,2025-02-22T01:33:09Z, , ,2025/02/22 08:33:09
TRACK,09,-8.0366077367,114.4618803263, , ,False, , ,1061, , ,2025-02-22T01:33:11Z, , ,2025/02/22 08:33:11
TRACK,09,-8.0366079882,114.4618802425, , ,False, , ,1074, , ,2025-02-22T01:33:13Z, , ,2025/02/22 08:33:13
TRACK,09,-8.0366084073,114.4618791528, , ,False, , ,1085, , ,2025-02-22T01:33:15Z, , ,2025/02/22 08:33:15
TRACK,09,-8.0366088264,114.4618779793, , ,False, , ,1097, , ,2025-02-22T01:33:17Z, , ,2025/02/22 08:33:17
TRACK,09,-8.0366087426,114.4618765544, , ,False, , ,1102, , ,2025-02-22T01:33:19Z, , ,2025/02/22 08:33:19
TRACK,09,-8.0366086587,114.4618745428, , ,False, , ,1109, , ,2025-02-22T01:33:21Z, , ,2025/02/22 08:33:21
TRACK,09,-8.0366074853,114.4618745428, , ,False, , ,1110, , ,2025-02-22T01:33:23Z, , ,2025/02/22 08:33:23
TRACK,09,-8.0366065633,114.4618747104, , ,False, , ,1113, , ,2025-02-22T01:33:25Z, , ,2025/02/22 08:33:25
TRACK,09,-8.0366058927,114.4618745428, , ,False, , ,1117, , ,2025-02-22T01:33:27Z, , ,2025/02/22 08:33:27
