Daerah,19,20,21,22
Sigi,"Energi Terbarukan, Kendaraan Listrik","Baterai, Energi Fosil",Cuaca Ekstrem,"Mineral, Terbatas"
Morowali Utara,"Energi Terbarukan, Energi Fosil","PLTS, Tenaga Matahari",Perubahan Kondisi Iklim,Nikel
Sigi,"Konversi Energi, Energi Panas",Penggunaan energi,Cuaca Ekstrem,Tidak Tahu
Morowali Utara,Konversi Energi,Bio energi,Perubahan Kondisi Iklim,Nikel
Sigi,"Lainnya, Komitmen","Panas Bumi, Sumber Daya Alam, Tenaga Air","Panas Berkepanjangan, Gagal Panen","Pertambangan, Kesejahteraan Masyarakat"
Prov Palu,"Konversi Energi, Energi Non-Fosil","Energi Terbarukan, Tidak Habis",Perubahan Kondisi Iklim,"Mineral, Terbatas"
Kota Palu,"Kendaraan Listrik, Teknologi","Belum Ada, Biaya, Komitmen, Tenaga Surya, Tenaga Angin, Tenaga Air",Cuaca Ekstrem,"Mineral, Galian C, Emas"
Sigi,Kendaraan listrik,PLTA,Perubahan Kondisi Iklim,Sigi Hijau
Prov Palu,"Energi Listrik, Batubara, Gas","Energi Hayati, Sawit",Dampak Pertambangan,Terbatas
Sigi,Konversi Energi,isu sentral,Sosialisasi,Studi Kelayakan Eksplorasi
,,,,
Prov Palu,"Energi Listrik, Energi Baru","PLTA, Energi Terbarukan, Tenaga Angin, Tenaga Matahari",Cuaca Ekstrem,Kerusakan Lingkungan
Sigi,"Energi Fosil, Belum Ada Program","PLTA, Panel Surya",Banjir,Belum Ada Izin
Morowali,Lainnya,"Energi Ramah Lingkungan, Minyak",Kerusakan Lingkungan,Penggunaan Mineral
Kota Palu,"Konversi Energi, Energi Panas Bumi, Surya, Air","Sumber Energi Baru, Panas Bumi, Tenaga Air",Pemanasan Global,Tidak Tahu
,,,,
Morowali,Energi terbarukan,"Energi Ramah Lingkungan, Pengganti Energi","Perubahan Kondisi Iklim, Banjir",SDA Berkurang
Sigi,Lainnya,"Lainnya, Energi Baru","SIgi Hijau, Eco-green",Hutan Lindung
Prov Palu,Kendaraan listrik,"PLTS, Energi Sampah, Tenaga Matahari",Kerusakan Lingkungan,Nikel
Sigi,"Belum Ada Program, Energi Fosil","PLTA, Konsorsium",Banjir,Hutan Lindung
Kota Palu,"Bio Energi, Energi Fosil, Baterai Nikel","PLTS, Lahan, Tenaga Matahari",Pembakaran Sampah,Tambang
Prov Palu,Energi terbarukan,Green and blue economy,Kerusakan Lingkungan,Tambang
Sigi,Energi terbarukan,"Panas Bumi, RPJPD","Sigi Hijau, Deforestasi",Hutan Lindung
Sigi,"Konversi Energi, PLTU","Inovasi Baru, PLTU",Penjagaan Hutan,"Hutan Lindung, Status Lahan"
Prov Palu,energi listrik,Inovasi dari energi ,Perubahan Kondisi Iklim,Hasil Bumi Habis
Sigi,"Belum ada program, PLTA","PLTA, Energi Baru",Banjir,"Emas, Nikel"
Morowali,"Energi Ramah Lingkungan, Konversi Energi","Energi dari Sumber Daya Alam
","Pemanasan Global, Efek Rumah Kaca","Mineral, Terbatas"
Prov Palu,"Energi Ramah Lingkungan, Konversi Energi",PLTS,Cuaca Ekstrem,"Mineral, Menurun"
Prov Palu,Energi alternatif,"PLTS, Bioethanol",Cuaca Ekstrem,"Nikel, Briket"
Prov Palu,"Sumber Energi, Polusi",Kendaraan listrik,Deforestasi,Krisis Air Bersih
